策略名稱,股票代號,股票名稱,樣本數,平均勝率,平均報酬率,平均持有天數
F14_MCTS1,5483,,1,1.0,1.509289,388.0
F14_MCTS1,6191,,1,1.0,0.356604,736.0
F14_MCTS1,6239,,1,1.0,1.179622,873.0
F14_MCTS1,8046,,1,1.0,0.695727,1548.0
F14_MCTS1,8069,,1,0.0,-0.533092,621.0
F14_MCTS1,9904,,1,0.0,-0.02061,868.0
F14_MCTS1,9907,,1,1.0,0.880246,461.0
F14_MCTS10,1101,,2,1.0,0.2411195,500.0
F14_MCTS10,1102,,1,0.0,-0.306448,500.0
F14_MCTS10,1103,,2,1.0,0.24917250000000002,449.0
F14_MCTS10,1104,,1,1.0,0.443613,500.0
F14_MCTS10,1210,,1,1.0,0.401703,500.0
F14_MCTS10,1216,,1,1.0,0.291494,500.0
F14_MCTS10,1227,,2,0.0,-0.17797000000000002,500.0
F14_MCTS10,1301,,1,1.0,0.294662,500.0
F14_MCTS10,1303,,2,0.5,-0.1204545,500.0
F14_MCTS10,1304,,2,1.0,0.4757065,500.0
F14_MCTS10,1305,,1,0.0,-0.223736,500.0
F14_MCTS10,1308,,1,1.0,0.667679,500.0
F14_MCTS10,1312,,1,0.0,-0.295811,500.0
F14_MCTS10,1313,,3,0.3333333333333333,0.3947539999999999,500.0
F14_MCTS10,1314,,1,1.0,0.88506,500.0
F14_MCTS10,1319,,1,1.0,0.619405,500.0
F14_MCTS10,1326,,3,0.3333333333333333,-0.04724600000000001,384.3333333333333
F14_MCTS10,1402,,1,0.0,-0.118594,500.0
F14_MCTS10,1409,,2,1.0,0.6588035,409.5
F14_MCTS10,1440,,1,1.0,2.262142,324.0
F14_MCTS10,1444,,2,1.0,0.38895399999999997,339.0
F14_MCTS10,1447,,1,1.0,0.711667,490.0
F14_MCTS10,1455,,2,1.0,1.002515,424.5
F14_MCTS10,1503,,2,1.0,0.1388085,500.0
F14_MCTS10,1504,,1,1.0,0.765197,500.0
F14_MCTS10,1513,,1,1.0,0.730741,500.0
F14_MCTS10,1605,,1,1.0,1.635576,500.0
F14_MCTS10,1608,,1,1.0,0.616753,500.0
F14_MCTS10,1609,,1,1.0,0.679102,500.0
F14_MCTS10,1711,,2,1.0,0.1437865,500.0
F14_MCTS10,1714,,1,1.0,0.202702,500.0
F14_MCTS10,1717,,1,1.0,0.406493,85.0
F14_MCTS10,1718,,2,1.0,0.2493455,500.0
F14_MCTS10,1722,,1,1.0,0.020282,500.0
F14_MCTS10,1789,,1,1.0,0.134373,500.0
F14_MCTS10,1905,,1,1.0,0.017898,500.0
F14_MCTS10,1907,,1,0.0,-0.250369,500.0
F14_MCTS10,2002,,2,1.0,0.14502199999999998,500.0
F14_MCTS10,2006,,2,1.0,0.0849795,500.0
F14_MCTS10,2010,,2,1.0,0.4298165,342.0
F14_MCTS10,2023,,2,1.0,0.416079,452.0
F14_MCTS10,2027,,1,1.0,0.08333,500.0
F14_MCTS10,2103,,2,0.5,0.24350499999999997,391.0
F14_MCTS10,2104,,5,0.8,0.2877284,490.2
F14_MCTS10,2105,,2,0.5,0.13976850000000002,500.0
